PaymentPlan,Date,Duration,Occasion,Distance_Miles,Start_Latitude,Start_Longitude,End_Latitude,End_Longitude
Subscriber,2019-07-01,00:05:17,Normal Thursday,0.42,45.5230283,-122.6784644,45.5231391,-122.6723799
Casual,2019-07-01,00:17:05,Normal Thursday,1.42,45.53080401,-122.6844227,45.51507401,-122.6870298
Casual,2019-07-01,00:10:09,Normal Thursday,0.67,45.52181825,-122.7044079,45.52487653,-122.6965141
Casual,2019-07-01,00:09:28,Normal Thursday,0.68,45.52181825,-122.7044079,45.52487653,-122.6965141
Casual,2019-07-01,00:09:22,Normal Thursday,1.88,45.523074,-122.69128,45.51556831,-122.6738924
Casual,2019-07-01,00:21:44,Normal Thursday,3.21,45.55645437,-122.6603794,45.5211726,-122.6763654
Subscriber,2019-07-01,00:12:35,Normal Thursday,1.74,45.5069185,-122.6733703,45.522975,-122.6637546
Subscriber,2019-07-01,00:27:42,Normal Thursday,2.69,45.50910258,-122.6735169,45.52297292,-122.6434118
Casual,2019-07-01,00:05:37,Normal Thursday,0.6,45.53142501,-122.6895659,45.5286366,-122.6820195
Subscriber,2019-07-01,00:04:07,Normal Thursday,0.29,45.5214706,-122.6704289,45.5211726,-122.6763654
Casual,2019-07-01,00:20:14,Normal Thursday,1.4,45.5120818,-122.6533493,45.5120726,-122.6327365
Casual,2019-07-01,00:31:51,Normal Thursday,2.01,45.5218947,-122.6834357,45.5172193,-122.6567013
Casual,2019-07-01,00:16:29,Normal Thursday,1.43,45.5120818,-122.6533493,45.5120726,-122.6327365
Casual,2019-07-01,00:10:13,Normal Thursday,1.06,45.5305823,-122.6945927,45.52374151,-122.6818129
Casual,2019-07-01,00:06:19,Normal Thursday,0.83,45.52579919,-122.6855063,45.51928859,-122.6792488
Casual,2019-07-01,00:13:50,Normal Thursday,2.34,45.55076344,-122.6668663,45.522987,-122.6811288
Subscriber,2019-07-01,00:04:26,Normal Thursday,0.45,45.5194778,-122.6772235,45.516687,-122.6810802
Subscriber,2019-07-01,00:06:17,Normal Thursday,1.01,45.50936198,-122.6812121,45.523086,-122.6754201
Casual,2019-07-01,00:09:19,Normal Thursday,1.35,45.5334337,-122.6946989,45.5307017,-122.6762415
Subscriber,2019-07-01,00:04:24,Normal Thursday,0.39,45.51184309,-122.68372,45.50936198,-122.6812121
Subscriber,2019-07-01,00:04:07,Normal Thursday,0.48,45.51202353,-122.6363119,45.511907,-122.6294804
